"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Atlin Monarch Mt","Nov","min",-27,-29.32,-24.65,0,830.9,76.5,-28.85,0,271.78,0,3.88,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Nov","obs_na",120,120,120,60,210,120,120,109,150,109,90,240,240,240,240,240,240
"Atlin Monarch Mt","Dec","mean",-12.06,-14.19,-9.94,0.04,871.85,87.19,-13.9,2,28.01,7.74,8.91,NA,NA,NA,NA,NA,NA
"Atlin Monarch Mt","Dec","max",2.25,1.75,4.25,1.8,1054.8,99.7,-0.35,8.96,87.7,39.33,19.72,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin Monarch Mt","Dec","min",-26.83,-29.32,-25.1,0,803.8,39.4,-30.52,0,271.87,0,1.6,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin Monarch Mt","Dec","obs_na",124,124,124,62,217,124,124,124,182,124,98,248,248,248,248,248,248
"Atlin School","Jan","mean",-9.83,-13.29,-6.6,0.53,NA,87.05,-11.31,0.19,1.24,2.66,5.66,NA,NA,NA,NA,NA,NA
"Atlin School","Jan","max",7.24,3.9,10.48,38,-Inf,98.78,2.36,1.29,89.58,9.65,15.35,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Jan","min",-31.4,-34.47,-29.39,0,Inf,59.45,-34.61,0,271.38,0,0.76,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Jan","obs_na",0,0,0,0,248,31,31,0,0,0,0,248,248,248,248,248,248
"Atlin School","Feb","mean",-9.89,-14.09,-5.37,0.35,NA,81.76,-12.37,0.27,0.07,3.04,19.45,NA,NA,NA,NA,NA,NA
"Atlin School","Feb","max",4.46,2.32,7.08,19.2,-Inf,97.57,1.06,1.17,89.2,8.16,42.07,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Feb","min",-33.58,-37.34,-27.86,0,Inf,62.08,-36.5,0,270.83,0,2.17,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Feb","obs_na",0,0,0,0,226,28,28,0,0,0,0,226,226,226,226,226,226
"Atlin School","Mar","mean",-6.79,-11.83,-1.09,0.16,NA,72.34,-10.84,0.38,12.71,3.49,49.24,NA,NA,NA,NA,NA,NA
"Atlin School","Mar","max",6.79,3.46,14.78,3.6,-Inf,93.48,1.11,1.38,88.85,8.35,92.28,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Mar","min",-22.16,-28.76,-17.49,0,Inf,40.27,-26.92,0.02,271.07,1.3,10.09,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Mar","obs_na",0,0,0,0,248,31,31,0,0,0,0,248,248,248,248,248,248
"Atlin School","Apr","mean",1.37,-3.23,6.47,0.11,NA,64.93,-5.03,0.47,18.96,4.21,93.96,NA,NA,NA,NA,NA,NA
"Atlin School","Apr","max",6.87,3.29,13.41,5.6,-Inf,97.05,4.38,1.63,89.32,7.79,174.58,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Apr","min",-10.52,-16.39,-3.55,0,Inf,41.3,-17.74,0,270.78,0,27.43,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Apr","obs_na",0,0,0,0,240,30,30,0,0,0,0,240,240,240,240,240,240
"Atlin School","May","mean",7.9,2.05,13.73,0.41,NA,60.31,-0.21,0.52,27.81,4.42,118.83,NA,NA,NA,NA,NA,NA
"Atlin School","May","max",16.43,11.55,25.78,10.2,-Inf,95.13,7.77,1.36,89.44,7.79,190.46,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","May","min",0.23,-4.67,3.46,0,Inf,35.1,-8.38,0.06,274.65,1.86,35.77,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","May","obs_na",0,0,0,0,248,31,31,0,0,0,0,248,248,248,248,248,248
"Atlin School","Jun","mean",11.17,5.52,16.64,0.41,NA,64.24,3.93,0.43,29.56,3.88,110.21,NA,NA,NA,NA,NA,NA
"Atlin School","Jun","max",19.8,13.44,27.25,16,-Inf,97.05,11.1,0.88,86.98,6.31,178.22,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Jun","min",4.3,-1.41,5.99,0,Inf,44.66,-3.37,0.07,271.72,1.67,24.06,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Jun","obs_na",6,6,6,6,240,36,36,6,6,6,6,240,240,240,240,240,240
"Atlin School","Jul","mean",13.06,7.92,18.24,0.59,NA,69.47,7.01,0.36,25.68,3.55,95.37,NA,NA,NA,NA,NA,NA
"Atlin School","Jul","max",19.88,13.53,29.95,14.8,-Inf,94.82,13.94,0.73,89.43,5.57,177.81,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Jul","min",6.88,-0.31,9.83,0,Inf,49.06,0.37,0,270.84,1.11,33.38,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Jul","obs_na",31,31,31,31,248,58,58,31,31,31,31,248,248,248,248,248,248
"Atlin School","Aug","mean",11.87,7.33,16.78,0.86,NA,71.88,6.54,0.32,18.42,3.62,67.08,NA,NA,NA,NA,NA,NA
"Atlin School","Aug","max",20.29,14,28.7,16.2,-Inf,98.88,12.5,0.94,88.92,8.53,115.56,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Aug","min",3.26,0.49,4.18,0,Inf,47.8,-0.25,0.02,270.79,1.86,1.85,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Aug","obs_na",22,22,22,22,247,34,34,22,22,22,22,247,247,247,247,247,247
"Atlin School","Sep","mean",7.65,3.65,12.16,0.99,NA,78,3.75,0.3,13.79,3.61,46.28,NA,NA,NA,NA,NA,NA
"Atlin School","Sep","max",16.87,12.7,24.64,19.4,-Inf,98.9,11.08,0.91,87.08,7.24,90.51,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Sep","min",1.04,-3.01,2.69,0,Inf,55.01,-4.08,0,271.29,1.3,11.7,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Sep","obs_na",0,0,0,0,240,30,30,0,0,0,0,240,240,240,240,240,240
"Atlin School","Oct","mean",1.73,-1.32,5.31,0.49,NA,81.09,-1.56,0.27,4.09,3.45,21.33,NA,NA,NA,NA,NA,NA
"Atlin School","Oct","max",10.35,7.9,16.7,10.8,-Inf,99.98,6.89,0.96,89.38,7.05,51.87,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Oct","min",-14.49,-19.06,-8.51,0,Inf,50.95,-17.57,0,272.83,0,5.14,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Oct","obs_na",0,0,0,0,248,31,31,0,0,0,0,248,248,248,248,248,248
"Atlin School","Nov","mean",-6.7,-9.75,-3.88,0.25,NA,85.56,-9.35,0.2,350.87,2.91,6.8,NA,NA,NA,NA,NA,NA
"Atlin School","Nov","max",4.28,2.58,6.52,8.8,-Inf,97.64,1.58,1.96,89.73,10.58,20.86,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Nov","min",-25.82,-28.7,-21.47,0,Inf,41.86,-28.62,0,270.84,0,0.86,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Nov","obs_na",0,0,0,0,240,30,30,0,0,0,0,240,240,240,240,240,240
"Atlin School","Dec","mean",-10.5,-13.58,-7.71,0.17,NA,86.24,-11.9,0.2,354.71,2.46,3.01,NA,NA,NA,NA,NA,NA
"Atlin School","Dec","max",5.87,3.27,9.09,7.2,-Inf,99.92,1.73,1.33,89.92,12.99,7.85,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Atlin School","Dec","min",-29.39,-32.45,-27.09,0,Inf,55.18,-31.82,0,272.61,0,0.65,Inf,Inf,Inf,Inf,Inf,Inf
"Atlin School","Dec","obs_na",0,0,0,0,248,31,31,0,0,0,0,248,248,248,248,248,248
"Barren","Jan","mean",-7.51,-11.81,-3.97,0.95,892.07,90.75,-8.84,0.52,7.37,6.28,29.26,0.1,0.11,0.13,0.29,NA,NA
"Barren","Jan","max",1.15,-1.9,5.64,13.2,904.45,100,-0.6,1.61,82.54,12.08,68.94,0.11,0.14,0.13,0.38,-Inf,-Inf
"Barren","Jan","min",-29.43,-34.18,-25.84,0,873.37,68.44,-31.66,0,274.7,2.01,5.03,0.08,0.09,0.12,0.22,Inf,Inf
"Barren","Jan","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
"Barren","Feb","mean",-3.93,-7.91,0.06,0.65,896.2,84.08,-6.39,1.12,28.99,7.62,59.37,0.12,0.16,0.14,0.37,NA,NA
"Barren","Feb","max",2.81,0.47,8.12,3.4,909.08,96.62,1.97,3.12,79.59,13.59,115.66,0.13,0.19,0.15,0.44,-Inf,-Inf
"Barren","Feb","min",-19.09,-26.19,-13.31,0,884.73,67.57,-21.89,0,285.88,0,28.57,0.11,0.13,0.13,0.31,Inf,Inf
"Barren","Feb","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28
"Barren","Mar","mean",-0.6,-4.93,3.65,0.64,892.21,75.88,-4.78,0.83,16.24,7.19,113.38,0.13,0.17,0.15,0.49,NA,NA
"Barren","Mar","max",3.49,0.38,11.25,4.6,906.79,98.79,1.88,2.16,69.55,13.59,190.88,0.16,0.23,0.18,0.55,-Inf,-Inf
"Barren","Mar","min",-7.13,-16.16,-1.93,0,881.6,56.48,-14.6,0,274.98,2.52,48.37,0.12,0.16,0.14,0.44,Inf,Inf
"Barren","Mar","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
"Barren","Apr","mean",-1.3,-6.79,3.57,0.95,890.77,68.21,-7.07,1.01,10.17,7.7,178.59,0.14,0.19,0.15,0.54,NA,NA
"Barren","Apr","max",4.54,0.82,9.9,12.4,902.44,98.75,0.5,2.43,81.37,11.58,294.78,0.17,0.22,0.17,0.61,-Inf,-Inf
"Barren","Apr","min",-10.11,-14.95,-6.01,0,867.48,47.33,-19.43,0.1,275.37,3.52,63.64,0.12,0.16,0.15,0.5,Inf,Inf
"Barren","Apr","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
"Barren","May","mean",4.44,-0.33,9.38,1.68,890.91,73.41,-0.55,0.93,22.44,7.5,190.09,0.15,0.19,0.16,3.37,NA,NA
"Barren","May","max",11.19,3.48,19.63,8.8,904.38,92.68,4.71,2.66,86.51,11.58,323.44,0.18,0.23,0.18,7.56,-Inf,-Inf
"Barren","May","min",0.6,-3.57,2.88,0,881.88,44.46,-4.14,0.12,279.56,5.03,84.15,0.13,0.16,0.15,0.49,Inf,Inf
"Barren","May","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
"Barren","Jun","mean",11,5.26,16.47,2.73,893.83,71.14,5.3,1.05,13.1,8,230.62,0.15,0.17,0.15,10.02,NA,NA
"Barren","Jun","max",18.88,11.15,26.62,13.4,904.5,90.38,10.7,2.41,81.37,11.07,354.9,0.16,0.19,0.16,12.91,-Inf,-Inf
"Barren","Jun","min",5.57,0.05,8.94,0,883.27,46.88,0.65,0.21,280.9,4.53,55.73,0.14,0.16,0.15,7.84,Inf,Inf
"Barren","Jun","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
"Barren","Jul","mean",13.84,7.99,19.4,2.68,896.71,71.85,8.06,0.84,43.96,6.94,225.72,0.11,0.13,0.12,13.22,NA,NA
"Barren","Jul","max",21.9,13.26,29.44,61.2,901.59,94.83,12.6,1.8,88.72,9.06,345.26,0.18,0.2,0.18,15.6,-Inf,-Inf
"Barren","Jul","min",9.17,4.04,12.39,0,891.96,44.51,4.78,0.08,283.32,4.53,82.03,0.02,0.04,0.05,11.81,Inf,Inf
"Barren","Jul","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53
"Barren","Aug","mean",14.07,8.09,19.97,1.01,895.51,69.05,7.76,0.97,37.51,7.35,193.51,0.06,0.09,0.08,13.42,NA,NA
"Barren","Aug","max",21.48,13.62,29.29,13.8,904.71,93.52,12.69,2.5,74.82,13.09,294.52,0.09,0.11,0.11,15.47,-Inf,-Inf
"Barren","Aug","min",4.75,-0.09,9.24,0,887.23,47.35,2.74,0.12,323.13,4.03,62.02,0.04,0.06,0.05,10.22,Inf,Inf
"Barren","Aug","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62
"Barren","Sep","mean",8.33,3.4,13.54,1.91,892.01,79.68,4.52,0.62,22.82,6.68,126.85,0.09,0.11,0.08,9.78,NA,NA
"Barren","Sep","max",14.09,9.14,21.68,14,905.21,98.69,9.23,2.01,76.28,10.57,231.77,0.17,0.16,0.14,13.02,-Inf,-Inf
"Barren","Sep","min",3.45,-2.31,6.2,0,875.8,54.4,-0.64,0.02,282.31,3.52,29.57,0.04,0.08,0.05,7.11,Inf,Inf
"Barren","Sep","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45
"Barren","Oct","mean",0.54,-2.73,3.81,0.97,887.82,86.8,-1.51,0.51,20.25,6.28,59.89,0.15,0.15,0.14,3.93,NA,NA
"Barren","Oct","max",4.58,1.26,7.82,6.8,904.06,98.1,1.63,1.49,89.03,10.57,117.54,0.18,0.17,0.14,6.68,-Inf,-Inf
"Barren","Oct","min",-4.32,-9.1,0.19,0,868.5,74.23,-6.66,0.04,270.49,3.02,14.99,0.14,0.12,0.14,1.76,Inf,Inf
"Barren","Oct","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
"Barren","Nov","mean",-2.68,-6.09,0.35,2.23,886.25,95.04,-3.4,0.51,2.27,6.26,29.5,0.13,0.13,0.14,0.8,NA,NA
"Barren","Nov","max",1.97,0.5,3.83,24.2,896.97,99.96,1.92,1.82,75.52,11.58,79.36,0.17,0.18,0.15,1.43,-Inf,-Inf
"Barren","Nov","min",-7.76,-12.9,-3.3,0,871.95,79.05,-8.4,0,276.89,0,4.67,0.12,0.07,0.14,0.63,Inf,Inf
"Barren","Nov","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
"Barren","Dec","mean",-14.62,-18.76,-10.94,0,886.15,90.01,-15.91,0.12,27.07,2.44,19.81,0.12,0.13,0.14,0.62,NA,NA
"Barren","Dec","max",-1.93,-6.29,1.18,0,904.11,96.13,-2.89,0.96,85.29,9.06,41.08,0.14,0.16,0.15,0.75,-Inf,-Inf
"Barren","Dec","min",-27.56,-31.62,-22.63,0,863.58,76.78,-30.45,0,273.54,0,2.07,0.1,0.1,0.13,0.35,Inf,Inf
"Barren","Dec","obs_na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31
"Bednesti Tamarac","Jan","mean",-6.28,-9.75,-2.94,0.94,NA,82.14,-8.98,1.31,NA,7.2,NA,0.13,0.18,0.14,0.35,NA,NA
"Bednesti Tamarac","Jan","max",3.21,0.74,6.28,7.2,-Inf,98.04,0.31,4.09,-Inf,12.84,-Inf,0.13,0.22,0.15,0.58,-Inf,-Inf
"Bednesti Tamarac","Jan","min",-28.11,-30.9,-25.38,0,Inf,55.4,-30.67,0.04,Inf,2.77,Inf,0.12,0.14,0.14,0.25,Inf,Inf
"Bednesti Tamarac","Jan","obs_na",0,0,0,0,31,0,0,0,31,0,31,0,0,0,0,31,31
"Bednesti Tamarac","Feb","mean",-2.83,-7.08,1.33,0.41,NA,72.01,-7.46,1.79,NA,8.59,NA,0.14,0.21,0.15,0.79,NA,NA
"Bednesti Tamarac","Feb","max",6.25,4.09,12.17,6.2,-Inf,92.61,2.27,4.95,-Inf,16.62,-Inf,0.14,0.22,0.16,0.96,-Inf,-Inf
"Bednesti Tamarac","Feb","min",-18.19,-24.49,-13.01,0,Inf,51.42,-24.82,0.37,Inf,3.27,Inf,0.13,0.21,0.15,0.6,Inf,Inf
"Bednesti Tamarac","Feb","obs_na",0,0,0,0,28,0,0,0,28,0,28,0,0,0,0,28,28
"Bednesti Tamarac","Mar","mean",1.22,-3.32,5.51,0.43,NA,69.15,-4.27,1.31,NA,7.03,NA,0.14,0.23,0.16,0.82,NA,NA
"Bednesti Tamarac","Mar","max",5.56,2.48,10.91,4.6,-Inf,95.08,2.64,3.21,-Inf,12.09,-Inf,0.15,0.28,0.19,0.88,-Inf,-Inf
"Bednesti Tamarac","Mar","min",-7.42,-16.04,-1.7,0,Inf,52.69,-15.25,0.27,Inf,2.77,Inf,0.14,0.21,0.15,0.7,Inf,Inf
"Bednesti Tamarac","Mar","obs_na",0,0,0,0,31,0,0,0,31,0,31,0,0,0,0,31,31
"Bednesti Tamarac","Apr","mean",1.36,-3.96,6.6,0.68,NA,62.65,-5.57,1.42,NA,8.39,NA,0.16,0.25,0.18,1.26,NA,NA
"Bednesti Tamarac","Apr","max",8.97,5.23,14.82,7,-Inf,88.49,-0.38,2.98,-Inf,14.1,-Inf,0.17,0.29,0.22,4.3,-Inf,-Inf
"Bednesti Tamarac","Apr","min",-7.51,-13.28,-2.98,0,Inf,47.83,-16.81,0.32,Inf,4.28,Inf,0.15,0.22,0.17,0.41,Inf,Inf
"Bednesti Tamarac","Apr","obs_na",0,0,0,0,30,0,0,0,30,0,30,0,0,0,0,30,30
"Bednesti Tamarac","May","mean",7.12,1.92,12,1.72,NA,69.94,1.3,1.27,NA,7.88,NA,0.15,0.23,0.17,6.44,NA,NA
"Bednesti Tamarac","May","max",14.05,6.91,20.65,11,-Inf,94.61,5.46,2.23,-Inf,11.58,-Inf,0.16,0.25,0.19,9.41,-Inf,-Inf
"Bednesti Tamarac","May","min",2.55,-2.28,4.3,0,Inf,37.3,-3.29,0.22,Inf,4.53,Inf,0.15,0.21,0.16,4.87,Inf,Inf
"Bednesti Tamarac","May","obs_na",0,0,0,0,31,0,0,0,31,0,31,0,0,0,0,31,31
"Bednesti Tamarac","Jun","mean",13.42,7.31,19.56,2.61,NA,67.19,6.76,1.2,NA,7.31,NA,0.15,0.21,0.16,12.15,NA,NA
"Bednesti Tamarac","Jun","max",20.87,13.86,28.59,22.6,-Inf,86.39,11.34,2.63,-Inf,10.32,-Inf,0.16,0.23,0.18,14.96,-Inf,-Inf
"Bednesti Tamarac","Jun","min",8.64,1.53,11.52,0,Inf,45,1.74,0.35,Inf,4.78,Inf,0.14,0.2,0.15,10.22,Inf,Inf
"Bednesti Tamarac","Jun","obs_na",0,0,0,0,30,0,0,0,30,0,30,0,0,0,0,30,30
"Bednesti Tamarac","Jul","mean",16.97,Inf,-Inf,1.21,NA,67.81,10.3,0.92,NA,-Inf,NA,0.13,0.18,0.14,14.67,NA,NA
"Bednesti Tamarac","Jul","max",24.29,Inf,32.51,10.4,-Inf,90.7,14.25,1.72,-Inf,8.81,-Inf,0.17,0.24,0.16,17.91,-Inf,-Inf
"Bednesti Tamarac","Jul","min",12.77,6.08,-Inf,0,Inf,42.74,6.51,0.33,Inf,-Inf,Inf,0.06,0.09,0.11,12.45,Inf,Inf
"Bednesti Tamarac","Jul","obs_na",7,0,0,7,41,7,7,7,41,0,41,0,0,0,0,41,41
"Bednesti Tamarac","Aug","mean",16.56,10.35,23,0.83,NA,66.34,9.67,0.99,NA,6.64,NA,0.08,0.11,0.12,14.8,NA,NA
"Bednesti Tamarac","Aug","max",23.83,16.89,31.89,10.8,-Inf,90.95,14.73,3.03,-Inf,11.33,-Inf,0.12,0.17,0.17,17.51,-Inf,-Inf
"Bednesti Tamarac","Aug","min",9.19,3.17,14.19,0,Inf,44.73,3.11,0.18,Inf,2.77,Inf,0.06,0.09,0.08,11.79,Inf,Inf
"Bednesti Tamarac","Aug","obs_na",0,0,0,0,62,0,0,0,62,0,62,0,0,0,0,62,62
"Bednesti Tamarac","Sep","mean",11.38,5.49,17.74,1.12,NA,70.73,5.69,0.9,NA,6.54,NA,0.08,0.11,0.1,10.9,NA,NA
"Bednesti Tamarac","Sep","max",18.24,10.64,28.49,10.2,-Inf,93.52,10.64,2.77,-Inf,12.84,-Inf,0.13,0.25,0.2,14.89,-Inf,-Inf
"Bednesti Tamarac","Sep","min",6.2,-0.82,7.77,0,Inf,55.42,0.38,0.27,Inf,3.78,Inf,0.05,0.07,0.06,8.47,Inf,Inf
"Bednesti Tamarac","Sep","obs_na",0,0,0,0,60,0,0,0,60,0,60,0,0,0,0,60,60
"Bednesti Tamarac","Oct","mean",5.85,1.38,10.81,0.61,NA,74.97,1.32,1.01,NA,7,NA,0.09,0.13,0.11,6.64,NA,NA
