"Site","gseason","grow_season","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Atlin Monarch Mt","Summer (May-Sep)","mean",5.73,2.7,9.28,1.14,856.06,76.58,1.52,2.76,26.89,8.95,197.7
"Atlin Monarch Mt","Summer (May-Sep)","max",18.86,14.96,22.92,24.2,870.5,100,8.98,7.05,88.98,23.01,395.78
"Atlin Monarch Mt","Summer (May-Sep)","min",-4.98,-7.94,-2.57,0,842.9,32.55,-11.76,0.1,270.72,3.52,9.05
"Atlin Monarch Mt","Summer (May-Sep)","obs_na",610,610,610,301,1069,610,610,825,872,825,568
"Atlin Monarch Mt","Winter (Oct-Apr)","mean",-9.32,-11.65,-6.99,0.12,853.23,86.07,-11.36,2.34,14.85,7.87,62.2
"Atlin Monarch Mt","Winter (Oct-Apr)","max",9.05,6.31,13.69,11.2,1054.8,100,5.25,9.57,89.68,39.33,307.75
"Atlin Monarch Mt","Winter (Oct-Apr)","min",-34.72,-36.15,-33.06,0,803.8,30.68,-37.13,0,270.15,0,1.6
"Atlin Monarch Mt","Winter (Oct-Apr)","obs_na",849,849,849,424,1486,849,849,930,1209,930,762
"Atlin School","Summer (May-Sep)","mean",10.23,5.19,15.42,0.65,NA,68.75,4.13,0.39,23.06,3.83,87.76
"Atlin School","Summer (May-Sep)","max",20.29,14,29.95,19.4,-Inf,98.9,13.94,1.36,89.44,8.53,190.46
"Atlin School","Summer (May-Sep)","min",0.23,-4.67,2.69,0,Inf,35.1,-8.38,0,270.79,1.11,1.85
"Atlin School","Summer (May-Sep)","obs_na",59,59,59,59,1223,189,189,59,59,59,59
"Atlin School","Winter (Oct-Apr)","mean",-5.78,-9.56,-1.82,0.3,NA,79.87,-8.88,0.28,3.26,3.17,28.4
"Atlin School","Winter (Oct-Apr)","max",10.35,7.9,16.7,38,-Inf,99.98,6.89,1.96,89.92,12.99,174.58
"Atlin School","Winter (Oct-Apr)","min",-33.58,-37.34,-29.39,0,Inf,40.27,-36.5,0,270.78,0,0.65
"Atlin School","Winter (Oct-Apr)","obs_na",0,0,0,0,1698,212,212,0,0,0,0
"Blackhawk","Summer (May-Sep)","mean",11.67,3.36,18.62,1.68,903.35,69.43,5.15,1.22,21.81,8.39,193.17
"Blackhawk","Summer (May-Sep)","max",22.07,18.01,33,56.8,919.5,99.99,13.94,4.53,89.44,20.41,353.38
"Blackhawk","Summer (May-Sep)","min",-3.84,-9.41,-2.48,0,879.11,32.74,-11.4,0,270.66,0.25,14.05
"Blackhawk","Summer (May-Sep)","obs_na",1,1,1,1,1,1,1,1,266,1,1
"Blackhawk","Winter (Oct-Apr)","mean",-4.9,-11.13,0.83,0.54,900.9,79.54,-8.4,1.1,19.23,7.35,68.49
"Blackhawk","Winter (Oct-Apr)","max",15.98,9.16,25.96,23,928.41,100,7.31,6.79,89.97,25.42,276.6
"Blackhawk","Winter (Oct-Apr)","min",-35.55,-42.32,-27.21,0,873.73,30.69,-38.1,0,270.38,0,2.22
"Blackhawk","Winter (Oct-Apr)","obs_na",0,0,0,0,0,0,0,0,318,0,0
"Boulder Creek","Summer (May-Sep)","mean",12.63,6.24,19.32,1.32,965.23,78.81,8.13,0.46,348.31,4.6,199.82
"Boulder Creek","Summer (May-Sep)","max",23.98,16,35.85,34,981.2,100,15.72,1.46,89.5,14.1,368.27
"Boulder Creek","Summer (May-Sep)","min",2.01,-3.85,4.99,0,945.11,39.81,-7.2,0,270.03,0.74,30.3
"Boulder Creek","Summer (May-Sep)","obs_na",348,348,347,473,347,369,369,420,420,420,552
"Boulder Creek","Winter (Oct-Apr)","mean",-1.53,-5.18,2.62,1.19,963.43,89.42,-3.53,0.37,7.24,3.78,56.25
"Boulder Creek","Winter (Oct-Apr)","max",13.82,10.21,24.07,49.6,997.32,100,11.93,1.89,89.98,15.21,274.41
"Boulder Creek","Winter (Oct-Apr)","min",-32.48,-36.46,-24.3,0,931.48,26,-35.87,0,270.02,0,1.54
"Boulder Creek","Winter (Oct-Apr)","obs_na",241,241,240,453,240,262,262,551,440,551,376
"Bowron Pit","Summer (May-Sep)","mean",5.41,-0.61,11.7,0.46,935.31,78.52,1.42,0.23,325.14,5.01,106.21
"Bowron Pit","Summer (May-Sep)","max",10.12,7.39,16.15,3.8,940.96,89.1,8.03,1.13,76.75,9.06,153.89
"Bowron Pit","Summer (May-Sep)","min",0.35,-7.67,7.39,0,929.81,64.95,-5.4,0.02,271.08,2.52,46.28
"Bowron Pit","Summer (May-Sep)","obs_na",16,16,15,15,15,16,16,15,15,15,16
