"Site","seasons","seasonal","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg"
"Blackhawk","Fall","mean",1.26,-5.49,7.34,7.17,901.41,80.17,-2.39,1.42,18.57,8.43,78.22
"Blackhawk","Fall","max",17.73,9.44,30.29,26.8,923.26,100,10.43,5.56,89.44,21.34,225.51
"Blackhawk","Fall","min",-28.88,-37.34,-22.88,0,879.11,30.69,-30.85,0,270.38,0,4.05
"Blackhawk","Fall","obs_na",0,0,0,0,0,0,0,0,1,0,0
"Blackhawk","Spring","mean",1.7,-6.49,8.45,5.53,901.88,69.01,-4.56,1.64,24.96,9.79,166.05
"Blackhawk","Spring","max",18.5,8.79,28.15,18.2,918.17,100,9.88,5.87,89.32,20.41,335.1
"Blackhawk","Spring","min",-31.3,-42.32,-22.63,0,881.79,32.74,-36.16,0,270.84,0,11.23
"Blackhawk","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Blackhawk","Summer","mean",13.65,5.26,20.46,11.32,903.34,69.72,6.93,1.52,17.67,9.47,206.94
"Blackhawk","Summer","max",22.07,18.01,33,56.8,917.97,99.99,13.94,4.53,89.32,17.25,353.38
"Blackhawk","Summer","min",2.71,-3.75,4.92,0,887.47,37,-4.46,0.03,270.66,3.27,27.28
"Blackhawk","Summer","obs_na",0,0,0,0,0,0,0,0,1,0,0
"Blackhawk","Winter","mean",-9.11,-14.72,-3.7,3.46,900.85,81.3,-12.06,1.7,20.44,9.02,35.56
"Blackhawk","Winter","max",9.08,7.29,13.91,11,928.41,99.9,2.16,6.79,89.97,25.42,125.61
"Blackhawk","Winter","min",-35.55,-40.71,-27.21,0,873.73,38.98,-38.1,0,270.49,0,2.22
"Blackhawk","Winter","obs_na",0,0,0,0,0,0,0,0,1,0,0
"Boulder Creek","Fall","mean",3.48,0.14,8.48,9.28,963.07,90.83,2.25,0.47,359.09,4.34,55.45
"Boulder Creek","Fall","max",19.41,14.85,29.67,49.6,986.04,100,15.72,1.13,89.97,8.35,240.67
"Boulder Creek","Fall","min",-19.51,-22.6,-15.36,0,935,57.85,-19.9,0,270.3,0,1.54
"Boulder Creek","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Boulder Creek","Spring","mean",5.18,-1.77,11.09,5.6,962.57,75.91,-0.05,0.7,358.61,6.11,160.47
"Boulder Creek","Spring","max",18.3,11.77,28.72,21.4,980.05,100,12.95,1.89,89.75,12.06,341.4
"Boulder Creek","Spring","min",-17.29,-26.11,-14.1,0,937.13,26,-27.24,0,270.03,0,23.64
"Boulder Creek","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Boulder Creek","Summer","mean",14.41,7.77,22.24,7.5,965.33,76.78,9.35,0.5,348.47,5.47,213.47
"Boulder Creek","Summer","max",23.98,16,35.85,32.8,978.95,100,15.6,1.08,89.33,14.1,368.27
"Boulder Creek","Summer","min",6.46,-1.97,10.6,0,945.11,46.61,-0.22,0,270.03,1.11,33.38
"Boulder Creek","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Boulder Creek","Winter","mean",-6.2,-11.49,-4.01,6.7,965.37,90.46,-7.31,0.48,9.81,5.14,28.83
"Boulder Creek","Winter","max",4.02,0.93,11.38,22.8,997.32,100,3.18,1.51,89.98,15.21,114.47
"Boulder Creek","Winter","min",-32.48,-36.46,-24.3,0,931.48,43.65,-35.87,0,270.02,0,1.55
"Boulder Creek","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Bowron Pit","Fall","mean",4.2,-1.85,11.28,2.6,934.73,79.56,0.43,0.31,331.86,5.94,92.03
"Bowron Pit","Fall","max",10.12,7.39,19.89,9.6,944.8,96.79,8.03,1.13,89.95,11.07,153.89
"Bowron Pit","Fall","min",-2.37,-10.58,2.64,0,922.47,56.57,-9.14,0,271.08,2.01,33
"Bowron Pit","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Bowron Pit","Summer","mean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowron Pit","Summer","max",-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
"Bowron Pit","Summer","min",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"Bowron Pit","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Bulkley","Fall","mean",4.16,-1.14,9.82,7.26,943.85,83.69,-1.05,0.58,356.22,4.21,47.94
"Bulkley","Fall","max",20.33,12.12,30.95,21.8,965.4,100,14.1,1.45,89.8,9.83,184.4
"Bulkley","Fall","min",-28.41,-32.6,-21.37,0,917.32,31.69,-30.6,0,270.1,0,3.6
"Bulkley","Fall","obs_na",0,0,0,0,0,0,0,0,0,0,1
"Bulkley","Spring","mean",4.83,-2.13,12.38,6.59,942.85,71.36,-2.08,0.55,2.15,4.62,119.39
"Bulkley","Spring","max",19.51,11.27,30.09,19,961.28,100,11.5,1.48,89.9,8.91,301.7
"Bulkley","Spring","min",-20.86,-27.21,-16.01,0,912.8,28.25,-25.7,0,270.6,0,12.5
"Bulkley","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Bulkley","Summer","mean",15.1,7.25,23.36,8.26,944.54,73.26,8.3,0.4,8.89,4.08,162.29
"Bulkley","Summer","max",23.65,15.8,35.42,27.6,957.11,100,15.6,1,90,7.79,322.6
"Bulkley","Summer","min",5.99,-1.97,7.62,0,929.02,43.05,-1.9,0,270.9,0.19,29.6
"Bulkley","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Bulkley","Winter","mean",-7.24,-11.27,-3.57,7.01,944.47,85.79,-12.77,0.66,349.06,4.37,20.36
"Bulkley","Winter","max",8.64,5.4,13.31,22.2,969.24,100,3.1,1.61,89.6,9.09,53.5
"Bulkley","Winter","min",-33.59,-37.96,-27.06,0,907.78,46.92,-36.3,0,270.3,0,1.8
"Bulkley","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Canoe","Fall","mean",-2.1,-4.39,0.54,6.69,775.41,78.55,-6.33,5.57,346.58,13.08,86.43
"Canoe","Fall","max",13.26,11.03,16.94,31,789.98,100,5.2,16.38,83.9,30.99,258.48
"Canoe","Fall","min",-26.12,-30.97,-20.26,0,753.95,17.1,-28.4,0,272.4,0,8.89
"Canoe","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Canoe","Spring","mean",-2.26,-4.73,0.95,4.23,774.36,75.47,-6.6,5.08,347.52,12.77,201.19
"Canoe","Spring","max",12.06,8.64,15.94,18.8,788.21,98,3.7,11.83,88.9,26.94,388.96
"Canoe","Spring","min",-18.18,-21.32,-16.16,0,755.65,38.1,-23.5,0,276.8,0,39.2
"Canoe","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Canoe","Summer","mean",7.79,4.73,11.07,8.17,780.86,72.42,2.43,4.41,348.7,13.03,225.57
"Canoe","Summer","max",18.12,14.31,22.42,40.2,790.63,99.9,9.9,12.84,86.3,35.51,415.93
"Canoe","Summer","min",-2.45,-3.93,-1.21,0,767.67,34.2,-4.1,0,273.3,0,36.66
"Canoe","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Canoe","Winter","mean",-10.08,-12.13,-7.78,1.52,771.43,82.01,-13.4,5.81,346.63,12.59,41.91
"Canoe","Winter","max",2.25,0.11,4.04,5.8,793.62,97.6,-1.4,14.93,89.6,24.43,149.88
"Canoe","Winter","min",-25.14,-27.4,-23.89,0,752.46,15,-28.9,0,270.1,0,5.5
"Canoe","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Cassiat Mt","Fall","mean",-3.14,-5.34,-0.54,6.48,830.9,87.7,-5.02,0.73,352.2,7.89,58.65
"Cassiat Mt","Fall","max",15.5,12.82,18.99,21.6,848.35,99.63,8.83,2.82,84.58,18.37,199.42
"Cassiat Mt","Fall","min",-24.13,-26.37,-23.04,0,807.56,54.16,-25.88,0,271.48,0,4.57
"Cassiat Mt","Fall","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Spring","mean",-4.38,-7.43,-1.08,2.3,831.8,80.32,-7.51,0.79,3.42,8.19,184.25
"Cassiat Mt","Spring","max",12.43,9.39,16.77,5.8,843.82,97.98,4.02,2.53,86.69,23.93,357.65
"Cassiat Mt","Spring","min",-28.7,-32.07,-25.21,0,814.95,38.13,-30.83,0,272.95,0,58.53
"Cassiat Mt","Spring","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Summer","mean",8.73,5.84,12.07,6.4,838.58,79.05,4.71,0.84,2.68,9.82,200.31
"Cassiat Mt","Summer","max",19.44,15.46,24.1,34.6,852.73,99.08,11.81,2.71,89.9,20.22,375.05
"Cassiat Mt","Summer","min",-0.4,-1.56,0.47,0,827.37,41.17,-1.74,0,278.63,0,52.7
"Cassiat Mt","Summer","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Cassiat Mt","Winter","mean",-11.62,-14.27,-9.13,2.8,829.87,82.88,-14.06,1.18,357.55,9.32,26.24
"Cassiat Mt","Winter","max",2.98,1.99,4.53,8.2,848.91,99.7,-0.34,7.11,88.79,28.57,84.05
"Cassiat Mt","Winter","min",-29.89,-32.91,-27.83,0,803.25,37.35,-32.21,0,271.13,0,5.08
"Cassiat Mt","Winter","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Central Plateau Finlay","Fall","mean",4.32,-0.61,9.23,8.3,944.28,83.09,-1.49,0.63,352.81,5.01,44.71
"Central Plateau Finlay","Fall","max",20.6,12.17,30.31,21.8,965.68,100,14.4,1.45,90,10.95,168.27
"Central Plateau Finlay","Fall","min",-27.33,-31.55,-21.67,0,917.85,26.88,-29.2,0,271.4,0,2.75
"Central Plateau Finlay","Fall","obs_na",1,1,1,0,1,1,1,1,1,1,0
"Central Plateau Finlay","Spring","mean",4.86,-1.68,12.32,7.42,944.11,71.33,-2.79,0.52,353,4.47,110.2
"Central Plateau Finlay","Spring","max",19.63,11.39,29.54,22.4,961.6,100,11.7,1.5,89.9,11.69,349.73
"Central Plateau Finlay","Spring","min",-22.97,-35.05,-16.01,0,921.14,29.75,-31.5,0,270.1,0,11.44
"Central Plateau Finlay","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Central Plateau Finlay","Summer","mean",15.08,8.28,23.16,9.57,945.09,73.48,8.06,0.34,356.54,3.85,157.95
"Central Plateau Finlay","Summer","max",23.48,17.53,35.08,31,958.19,100,15.8,0.86,89.2,7.61,356.45
"Central Plateau Finlay","Summer","min",5.98,-0.15,7.9,0,929.31,43.02,-1.7,0,276,0.19,31.03
"Central Plateau Finlay","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Central Plateau Finlay","Winter","mean",-7.08,-10.87,-3.44,7.89,945.35,83.69,-13.04,0.7,350.67,4.71,19.68
"Central Plateau Finlay","Winter","max",8.86,5.51,12.9,41.4,974.52,100,3.7,1.69,89.8,11.69,75.2
"Central Plateau Finlay","Winter","min",-33.29,-37.96,-28.05,0,908.55,20.46,-41.2,0,270.2,0,1.43
"Central Plateau Finlay","Winter","obs_na",1,1,1,0,0,1,1,1,1,1,0
"Crystal Lake","Fall","mean",2.84,-2.89,8.26,9.93,925.92,83.17,-0.24,1.24,1.74,7.56,84.78
"Crystal Lake","Fall","max",17.83,10.76,29.41,53.4,946.47,98.04,12.81,4.2,87.69,16.51,246.19
"Crystal Lake","Fall","min",-28.54,-34.76,-20.17,0,900.7,47.88,-30.75,0,270.24,0,4.67
"Crystal Lake","Fall","obs_na",0,0,0,0,0,0,0,1,1,1,0
"Crystal Lake","Spring","mean",3.87,-4.23,11.17,7.54,925,69.4,-2.23,1.42,3.99,9.14,190.3
"Crystal Lake","Spring","max",18.52,10.59,29.59,22.6,940.76,97.27,10.2,4.22,87.68,18.37,387.13
"Crystal Lake","Spring","min",-21.99,-28.92,-17.04,0,902.1,30.79,-26.53,0,270.13,2.27,33.64
"Crystal Lake","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Crystal Lake","Summer","mean",14.33,6.03,21.64,9.88,927.36,69.32,7.56,1.33,18.41,9.07,233.27
"Crystal Lake","Summer","max",23.06,16.94,35,35.8,938.88,95.24,14.52,3.87,89.38,18.74,394.1
"Crystal Lake","Summer","min",4.85,-3.87,8.27,0,912.12,34.39,-0.52,0.03,270.03,2.77,39.26
"Crystal Lake","Summer","obs_na",0,0,0,0,0,0,0,1,1,1,0
"Crystal Lake","Winter","mean",-8.45,-13.46,-4.72,9.01,926.42,86.78,-10.31,1.17,355.3,7.25,39.9
"Crystal Lake","Winter","max",5.4,2.45,10.86,41.8,955.4,97.89,3.23,4.19,88.05,46.94,139.26
"Crystal Lake","Winter","min",-37.79,-44.87,-27.65,0,898.89,49.43,-41.28,0,271.19,0,3.26
"Crystal Lake","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Dunster","Fall","mean",3.95,0.66,7.55,7.76,911.57,84.8,1.54,0.97,345.96,6.23,84.69
"Dunster","Fall","max",18.55,12.44,26.09,32.6,930.8,96.68,12.81,2.37,89.96,13.36,272.39
"Dunster","Fall","min",-25.59,-28.6,-23.15,0,889.26,56.93,-27.57,0,270.26,0,2.17
"Dunster","Fall","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Spring","mean",5.44,0.11,11.16,5.54,910.94,68.41,-0.87,1.12,348.98,7.39,229.04
"Dunster","Spring","max",19.34,10.83,29.27,18.4,927.52,94.94,10.74,2.37,89.69,14.1,488.28
"Dunster","Spring","min",-17.16,-22.52,-12.79,0,893.09,33.87,-26.91,0.16,271.08,2.04,24.42
"Dunster","Spring","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Summer","mean",15.03,9.13,21.54,7.45,913.02,69.88,8.79,0.93,2.16,7.01,289.45
"Dunster","Summer","max",23.58,16.13,33.81,23.8,923.4,95.83,14.48,2.3,89.46,13.92,524.84
"Dunster","Summer","min",6.79,0.63,10.12,0,900.75,38.69,-0.16,0.12,270.14,1.86,39.32
"Dunster","Summer","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Dunster","Winter","mean",-6.42,-9.07,-4.51,6.75,912.5,86.54,-8.27,1.1,336.77,6.77,34.33
"Dunster","Winter","max",4.65,3.14,7.17,24.8,937.07,97.44,2.68,2.66,86.51,15.21,137.23
"Dunster","Winter","min",-23.1,-26.37,-21.08,0,883.67,48.92,-25.24,0,270.01,0,2.95
"Dunster","Winter","obs_na",0,0,0,0,0,0,0,1,0,1,0
"Endako","Fall","mean",2.27,-3.41,8.2,7.37,914.42,81.74,-0.97,1.21,0.79,6.38,86.59
"Endako","Fall","max",17.25,10.3,29.09,34,933.95,96.05,11.55,3.75,89.56,15.59,260.77
"Endako","Fall","min",-24.88,-30.34,-16.7,0,887.15,52.02,-27.12,0,270.09,0,3.58
"Endako","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Endako","Spring","mean",2.77,-4.52,9.37,6.23,914.13,68.59,-3.16,1.4,1.04,7.63,186.05
"Endako","Spring","max",17.11,10.12,28.15,35,932.53,94.51,10.15,4.01,89.79,18.37,388.02
"Endako","Spring","min",-22.48,-29.79,-18.7,0,883.44,36.08,-29.45,0,270.15,1.76,24.43
"Endako","Spring","obs_na",0,0,0,0,1,0,0,1,1,1,0
"Endako","Summer","mean",13.19,4.45,21.15,8.39,917.24,68.19,6.39,1.28,2.27,7.07,249.38
"Endako","Summer","max",24.87,16.23,36.09,28.6,929.55,95.08,13,3.51,89.73,16.14,419.68
"Endako","Summer","min",4.61,-5.02,7.82,0,899.83,38.93,-3,0,270.2,0,46.66
"Endako","Summer","obs_na",1,1,1,0,1,1,1,0,0,0,0
"Endako","Winter","mean",-8.37,-13.29,-4.25,7.29,913.88,84.77,-10.79,1.18,4.44,6.01,42.27
"Endako","Winter","max",4.57,2.29,10.2,28,943.42,96.45,1.38,3.99,89.97,15.21,156.97
"Endako","Winter","min",-33.43,-40.06,-25.67,0,879.36,47.55,-37.21,0,270.09,0,2.17
"Endako","Winter","obs_na",0,0,0,0,1,0,0,1,1,1,0
"George Lake","Fall","mean",2.4,-2.91,8.3,6.98,911.21,82.33,-0.66,1.05,3.86,5.69,76.22
"George Lake","Fall","max",18.02,10.15,30.37,28.6,930.71,99.15,11.5,3.39,89.97,15.03,237.39
"George Lake","Fall","min",-25.47,-29.72,-20.07,0,884.88,46.12,-27.59,0,270.28,0,3.31
"George Lake","Fall","obs_na",1,1,1,1,0,1,1,1,1,1,1
"George Lake","Spring","mean",2.65,-4.25,9.43,5.84,910.69,68.17,-3.64,1.16,4.72,6.46,168.09
"George Lake","Spring","max",17.89,10.37,29.12,15.6,928.56,97.73,10.41,4.39,89.38,15.21,361.35
"George Lake","Spring","min",-23.57,-32.83,-18.65,0,880.48,36.78,-30.49,0,270.37,1.3,21.81
"George Lake","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"George Lake","Summer","mean",13.99,6.54,21.64,8.66,913.81,67.44,7.03,0.96,9.63,5.96,215.56
"George Lake","Summer","max",23.51,16.2,34.86,31.6,926.49,97.01,13.82,2.57,89.9,12.99,375.52
"George Lake","Summer","min",3.52,-1.7,4.61,0,897.07,37.46,-3.73,0,270.31,1.48,39.36
"George Lake","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"George Lake","Winter","mean",-8.4,-12.75,-4.17,7.53,911.06,85.7,-10.55,1.16,1.33,5.66,36.25
"George Lake","Winter","max",4.99,1.64,11.18,26.8,940.04,98.62,1.71,4.31,89.67,15.03,137.18
"George Lake","Winter","min",-34.1,-39.22,-27.58,0,875.95,55.87,-37.22,0,270.09,0,2.69
"George Lake","Winter","obs_na",0,0,0,1,0,0,0,1,1,1,1
"Gnat Pass","Fall","mean",-1.92,-4.28,0.71,4.73,825.21,83.49,-4.67,3.83,5.25,12.18,72.22
"Gnat Pass","Fall","max",14.36,10.25,18.68,19.6,844.18,98.61,7.57,11.31,88.39,33.77,251.76
"Gnat Pass","Fall","min",-25.64,-27.46,-23.36,0,799.95,12.34,-27.95,0,270.08,0,6.75
"Gnat Pass","Fall","obs_na",0,0,0,0,1,0,0,0,0,0,0
"Gnat Pass","Spring","mean",-2.3,-4.8,0.66,4.27,826.53,74.85,-6.88,4.1,12.53,13.84,191.66
"Gnat Pass","Spring","max",12.17,9.36,17.18,14.8,844.36,96.16,4.87,12.22,89.84,33.21,389.47
"Gnat Pass","Spring","min",-22.26,-24.99,-20.64,0,805.74,26.1,-29.85,0,270.37,0,46.81
"Gnat Pass","Spring","obs_na",0,0,0,0,1,0,0,0,0,0,0
"Gnat Pass","Summer","mean",8.15,5.21,11.67,7.7,832.52,77.71,3.9,3.6,13.63,13.17,202.76
"Gnat Pass","Summer","max",17.99,14.19,22.01,21.4,846.79,98.3,9.43,9.29,89.73,25.05,396.76
"Gnat Pass","Summer","min",-0.13,-2.57,2.45,0,806.26,39.05,-3.19,0.72,270.03,5.38,32.65
"Gnat Pass","Summer","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Gnat Pass","Winter","mean",-8.81,-11,-6.82,2.16,822.17,84.42,-11.13,3.32,9.1,12.32,32.06
"Gnat Pass","Winter","max",5.02,2.07,8.39,9.4,847.56,97.91,0.2,10.1,89.5,36.55,122.95
"Gnat Pass","Winter","min",-23.71,-30.41,-22.22,0,791.07,23.74,-31.05,0,270.2,0,3.83
"Gnat Pass","Winter","obs_na",0,0,0,0,1,0,0,0,0,0,0
"Gunnel","Fall","mean",0.08,-3.01,2.83,3.04,906.61,69.33,-5.61,3.04,352.57,10.99,81.16
"Gunnel","Fall","max",14.93,14.09,19.04,8.2,1021.75,100,6.1,6.77,89.3,25.98,193.33
"Gunnel","Fall","min",-24.43,-25.8,-22.4,0,820,21.03,-26.76,0,270.9,0,5.45
"Gunnel","Fall","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Gunnel","Spring","mean",-2.18,-5.05,1.44,2.64,925.25,65.09,-8.95,3.36,5.89,12.31,169.41
"Gunnel","Spring","max",16.08,13,20,11.8,1022.58,98.65,4.59,8.55,89.1,31.7,329.37
"Gunnel","Spring","min",-28.08,-32.48,-26.11,0,826.83,23.92,-30.89,0,273.8,0,42.8
"Gunnel","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Gunnel","Summer","mean",10.73,8.13,13.97,11.29,933.21,69.06,4.47,3.14,3.87,11.52,194.7
"Gunnel","Summer","max",20.81,18.2,25.17,66,1025.48,100,11.79,7.8,90,21,348.9
"Gunnel","Summer","min",1.57,-3.8,3.31,0,836.3,28.85,-2.68,0.78,271.9,4.87,32.6
"Gunnel","Summer","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Gunnel","Winter","mean",-9.93,-12.55,-5.79,1.84,921.66,66.56,-16.24,3.77,7.62,13.61,30.55
"Gunnel","Winter","max",12.55,11.38,14.85,5.8,1025.42,95.02,-0.24,8.48,88.1,25.9,122.12
"Gunnel","Winter","min",-33.23,-36.46,-30.17,0,820.05,9.54,-36.42,0.57,273.8,3.1,3.94
"Gunnel","Winter","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Hourglass","Fall","mean",2.07,-2.01,6.35,7.18,883.07,73.43,-2.71,2.43,17.65,9.8,85.52
"Hourglass","Fall","max",21.87,16.23,28.32,34.6,902.03,96.05,10.73,8.86,89.02,24.74,235.93
"Hourglass","Fall","min",-26.78,-29.39,-24.43,0,861.95,19.06,-29.43,0,270.95,0,8.21
"Hourglass","Fall","obs_na",0,0,0,0,0,0,0,0,1,0,0
"Hourglass","Spring","mean",1.8,-3.07,6.34,5.41,883.52,64.64,-5,2.72,13.52,10.63,180.87
"Hourglass","Spring","max",19.39,12.49,26.28,24.6,898.19,94.75,8.17,8.8,89.5,22.46,359.78
"Hourglass","Spring","min",-28.15,-34.43,-24.21,0,863.31,25.81,-33.49,0,271.55,0,16.86
"Hourglass","Spring","obs_na",1,1,1,1,1,1,1,1,1,1,1
"Hourglass","Summer","mean",13.74,8.82,18.7,12.72,886.1,64.03,6.25,2.49,23.66,10.12,229.59
"Hourglass","Summer","max",24.87,18.53,32.92,106.6,900.26,99.23,13.94,6.87,89.67,19.67,399.84
"Hourglass","Summer","min",0.76,-0.68,3.38,0,869.58,29.57,-4.78,0.34,270.55,4.03,29.52
"Hourglass","Summer","obs_na",0,0,0,0,0,0,0,0,1,0,0
"Hourglass","Winter","mean",-7.91,-11.3,-4.58,2.54,881.62,75.19,-11.78,3.14,17.46,10.65,40.24
"Hourglass","Winter","max",7.08,5.28,10.98,6.6,907.36,93.4,1.15,10.41,89.72,26.27,139.05
"Hourglass","Winter","min",-32.5,-35.36,-28.21,0,855.23,25.75,-35.54,0,270.31,1.3,4.98
"Hourglass","Winter","obs_na",0,0,0,0,0,0,0,0,1,0,0
"Hudson Bay Mountain","Fall","mean",0,-2.58,2.35,6.16,826.01,81.63,-3.22,5.2,15.66,13.94,86.93
"Hudson Bay Mountain","Fall","max",17.28,14.24,20.2,29.6,841,100,7.05,16.78,89.33,29.82,224.68
"Hudson Bay Mountain","Fall","min",-15.4,-17.86,-14,0,801.28,25.63,-18.86,0,270.15,0.19,7.12
"Hudson Bay Mountain","Fall","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Spring","mean",-2.32,-4.49,0.46,2.43,825.14,80.87,-5.65,5.38,11.61,13.46,170.3
"Hudson Bay Mountain","Spring","max",11.45,7.09,14.53,11.4,837.18,98.21,4.1,12.04,87.91,21.83,332.18
"Hudson Bay Mountain","Spring","min",-15.88,-19.84,-12.75,0,810.31,36.14,-16.98,2.12,271.43,7.02,52.07
"Hudson Bay Mountain","Spring","obs_na",0,0,0,0,0,0,0,0,0,0,0
"Hudson Bay Mountain","Summer","mean",8.84,5.85,12.33,3,831.82,70.68,2.97,5.59,352.93,14.06,220.59
"Hudson Bay Mountain","Summer","max",20.16,17.23,24.24,12.2,841.22,98.91,7.86,16.17,87.05,28.46,350.14
